Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
'98 Koshien,PS,1998,Sports,Magical Company,0.15,0.1,0.12,0.03
.hack//G.U. Vol.1//Rebirth,PS2,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0
.hack//G.U. Vol.2//Reminisce (jp sales),PS2,2006,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0
.hack//Infection Part 1,PS2,2002,Role-Playing,Atari,0.49,0.38,0.26,0.13
.hack//Link,PSP,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.14,0.0
007 Racing,PS,2000,Racing,Electronic Arts,0.3,0.2,0.0,0.03
007: Quantum of Solace,PC,2008,Action,Activision,0.01,0.01,0.0,0.0
007: Quantum of Solace,PS2,2008,Action,Activision,0.17,0.0,0.0,0.26
007: Quantum of Solace,Wii,2008,Action,Activision,0.3,0.29,0.01,0.07
007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06
10 Minute Solution,Wii,2010,Sports,Activision,0.06,0.01,0.0,0.01
1000 Cooking Recipes from ELLE à table,DS,2010,Misc,Nintendo,0.0,0.02,0.0,0.0
101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,0.19,0.01,0.0,0.02
101-in-1 Sports Party Megamix,Wii,2010,Sports,Nordcurrent,0.02,0.0,0.0,0.0
1080°: TenEighty Snowboarding,N64,1998,Sports,Nintendo,1.25,0.61,0.13,0.05
11eyes: CrossOver,PSP,2010,Adventure,5pb,0.0,0.0,0.02,0.0
12-Sai. Koisuru Diary,3DS,2016,Adventure,Happinet,0.0,0.0,0.04,0.0
18 Wheeler: American Pro Trucker,PS2,2001,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05
187: Ride or Die,XB,2005,Racing,Ubisoft,0.05,0.01,0.0,0.0
2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,2007,Action,THQ,1.26,0.47,0.0,0.03
2 Games in 1: Disney Princess & The Lion King,GBA,2004,Misc,THQ,1.25,0.46,0.0,0.03
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ,0.22,0.08,0.0,0.01
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,2013,Misc,Ubisoft,0.09,0.01,0.0,0.01
2-in-1 Game Pack: Spider-Man & Spider-Man 2,GBA,2005,Platform,Activision,0.06,0.02,0.0,0.0
2002 FIFA World Cup,GC,2002,Sports,Electronic Arts,0.04,0.01,0.0,0.0
2010 FIFA World Cup South Africa,PS3,2010,Sports,Electronic Arts,0.3,0.64,0.07,0.22
2014 FIFA World Cup Brazil,X360,2014,Sports,Electronic Arts,0.14,0.28,0.0,0.04
300: March to Glory,PSP,2007,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06
3D Baseball,PS,1996,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0
3Xtreme,PS,1999,Action,989 Studios,0.5,0.34,0.0,0.06
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0
4x4 EVO 2,GC,2002,Racing,Vivendi Games,0.11,0.03,0.0,0.0
4x4 Evolution,PS2,2001,Racing,Gathering of Developers,0.16,0.12,0.0,0.04
50 Cent: Blood on the Sand,PS3,2009,Shooter,THQ,0.1,0.06,0.01,0.03
50 Cent: Blood on the Sand,X360,2009,Shooter,THQ,0.12,0.07,0.0,0.02
50 Cent: Bulletproof,XB,2005,Action,Vivendi Games,0.33,0.1,0.0,0.02
7 Days to Die,XOne,2016,Action,Telltale Games,0.02,0.02,0.0,0.0
7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,0.0,0.02,0.0,0.0
7 Wonders II,DS,2009,Puzzle,Rondomedia,0.14,0.15,0.0,0.03
7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01
"999: Nine Hours, Nine Persons, Nine Doors",DS,2009,Adventure,ChunSoft,0.37,0.0,0.03,0.03
