Name,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,PlatformGenre
.hack//G.U. Vol.2//Reminisce,2006,Namco Bandai Games,0.11,0.09,"",0.03,PS2::Role-Playing
.hack//G.U. Vol.3//Redemption,2007,Namco Bandai Games,"",0.0,0.17,0.0,PS2::Role-Playing
.hack//Mutation Part 2,2002,Atari,0.23,0.18,0.2,0.06,PS2::Role-Playing
.hack//Outbreak Part 3,2002,Atari,0.14,0.11,0.17,0.04,PS2::Role-Playing
.hack//Quarantine Part 4: The Final Chapter,2003,Atari,0.09,0.07,"",0.02,PS2::Role-Playing
.hack: Sekai no Mukou ni + Versus,2012,Namco Bandai Games,"",0.0,0.03,0.0,PS3::Action
007: Quantum of Solace,2008,Activision,0.11,0.01,"",0.01,DS::Action
007: Quantum of Solace,2008,Activision,0.43,0.52,0.02,0.2,PS3::Action
007: Quantum of Solace,2008,Activision,0.82,0.52,0.01,0.14,X360::Action
007: The World is not Enough,2000,Electronic Arts,1.13,0.38,0.02,0.03,N64::Action
007: The World is not Enough,2000,Electronic Arts,1.13,0.38,0.02,0.03,N64::Action
007: The World is not Enough,2000,Electronic Arts,1.13,0.38,0.02,0.03,N64::Action
007: Tomorrow Never Dies,1999,Electronic Arts,1.72,1.33,"",0.16,PS::Shooter
1 vs. 100,2008,DSI Games,0.08,0.0,"",0.01,DS::Misc
1 vs. 100,2008,DSI Games,0.08,0.0,"",0.01,DS::Misc
1/2 Summer +,2013,Kaga Create,"",0.0,0.01,0.0,PSP::Adventure
100 All-Time Favorites,2009,Ubisoft,0.35,0.12,"",0.04,DS::Puzzle
100 Classic Books,2008,Nintendo,0.13,0.52,"",0.02,DS::Misc
100 Classic Games,2011,Rondomedia,"",0.03,"",0.0,DS::Misc
1001 Touch Games,2011,Avanquest,0.12,0.17,"",0.04,DS::Action
101-in-1 Explosive Megamix,2008,Nordcurrent,0.05,0.13,"",0.02,DS::Puzzle
101-in-1 Sports Megamix,2010,Nordcurrent,0.08,0.0,"",0.01,DS::Sports
101-in-1 Sports Megamix,2010,Nordcurrent,0.08,0.0,"",0.01,DS::Sports
101-in-1 Sports Megamix,2010,Nordcurrent,0.08,0.0,"",0.01,DS::Sports
11eyes: CrossOver,2009,5pb,"",0.0,0.02,0.0,X360::Adventure
12-Sai. Honto no Kimochi,2014,Happinet,"",0.0,0.07,0.0,3DS::Adventure
12Riven: The Psi-Climinal of Integral,2008,CyberFront,"",0.0,0.04,0.0,PS2::Adventure
15 Days,2009,DTP Entertainment,"",0.01,"",0.0,PC::Adventure
1701 A.D.,2006,Deep Silver,"",0.25,"",0.05,PC::Simulation
1701 A.D.,2006,Deep Silver,"",0.25,"",0.05,PC::Simulation
1701 A.D.,2006,Deep Silver,"",0.25,"",0.05,PC::Simulation
18 Wheeler: American Pro Trucker,2002,Acclaim Entertainment,0.09,0.02,"",0.0,GC::Racing
18 Wheels of Steel: Extreme Trucker,2009,Rondomedia,"",0.02,"",0.0,PC::Racing
18 Wheels of Steel: Extreme Trucker 2,2011,Rondomedia,0.08,0.02,"",0.01,PC::Racing
187: Ride or Die,2005,Ubisoft,0.07,0.06,"",0.02,PS2::Racing
1942,1985,Capcom,0.65,0.14,0.21,0.0,NES::Shooter
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,2005,THQ,0.09,0.03,"",0.0,GBA::Racing
2 Games in 1: Sonic Advance & ChuChu Rocket!,2005,THQ,1.31,0.49,"",0.03,GBA::Misc
2 Games in 1: Sonic Battle & ChuChu Rocket!,2005,THQ,0.44,0.16,"",0.01,GBA::Misc
2 Games in 1: Sonic Pinball Party & Columns Crown,2005,Sega,0.04,0.02,"",0.0,GBA::Misc
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,THQ,0.33,0.12,"",0.01,GBA::Platform
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,2004,Sega,0.4,0.11,"",0.02,XB::Misc
2002 FIFA World Cup,2002,Electronic Arts,0.21,0.17,0.16,0.06,PS2::Sports
2002 FIFA World Cup,2002,Electronic Arts,0.21,0.17,0.16,0.06,PS2::Sports
2002 FIFA World Cup,2002,Electronic Arts,0.14,0.04,"",0.01,XB::Sports
2010 FIFA World Cup South Africa,2010,Electronic Arts,0.09,0.24,0.03,0.12,PSP::Sports
2010 FIFA World Cup South Africa,2010,Electronic Arts,0.23,0.15,0.01,0.04,Wii::Sports
2010 FIFA World Cup South Africa,2010,Electronic Arts,0.32,0.43,0.02,0.09,X360::Sports
2014 FIFA World Cup Brazil,2014,Electronic Arts,0.15,0.39,0.01,0.16,PS3::Sports
24: The Game,2006,Sony Computer Entertainment,0.15,0.12,"",0.04,PS2::Adventure
25 to Life,2006,Eidos Interactive,0.35,0.01,"",0.06,PS2::Shooter
25 to Life,2006,Eidos Interactive,0.12,0.04,"",0.01,XB::Shooter
2Xtreme,1996,Sony Computer Entertainment,1.15,0.2,"",0.05,PS::Sports
"3 in 1: Solitaire, Mahjong & Tangram",2010,Deep Silver,"",0.07,"",0.01,DS::Misc
3D Dot Game Heroes,2009,SouthPeak Games,0.36,0.12,0.03,0.07,PS3::Role-Playing
3D Lemmings,1995,Psygnosis,0.03,0.02,"",0.0,PS::Puzzle
3D Tank Warfare Simulator Panzer Front,1999,Avalon Interactive,0.06,0.04,"",0.01,PS::Simulation
3DS Classic Collection,2016,Sega,0.02,0.0,"",0.0,3DS::Misc
3rd Super Robot Wars Z Jigoku Hen,2014,Namco Bandai Games,"",0.0,0.23,0.0,PS3::Role-Playing
3rd Super Robot Wars Z: Tengoku-Hen,2015,Namco Bandai Games,"",0.0,0.15,0.0,PS3::Action
3rd Super Robot Wars Z: Tengoku-Hen,2015,Namco Bandai Games,"",0.0,0.19,0.0,PSV::Action
3rd Super Robot Wars Z: Tengoku-Hen,2015,Namco Bandai Games,"",0.0,0.19,0.0,PSV::Action
3rd Super Robot Wars Z: Tengoku-Hen,2015,Namco Bandai Games,"",0.0,0.19,0.0,PSV::Action
4 Elements,2009,Mastertronic,"",0.04,"",0.01,PC::Puzzle
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,2005,Atari,0.11,0.0,"",0.01,DS::Misc
4 Nin uchi Mahjong,1984,Nintendo,"",0.0,1.45,0.0,NES::Misc
40 Winks,1999,GT Interactive,0.17,0.12,"",0.02,PS::Platform
428: Fuusa Sareta Shibuya de,2009,Spike,"",0.0,0.02,0.0,PS3::Adventure
428: Fuusa Sareta Shibuya de,2009,Spike,"",0.0,0.04,0.0,PSP::Adventure
428: Fuusa Sareta Shibuya de,2008,Sega,"",0.0,0.13,0.0,Wii::Adventure
4x4 EVO 2,2001,Gathering of Developers,0.18,0.05,"",0.01,XB::Racing
50 Cent: Bulletproof,2005,Vivendi Games,0.85,0.76,"",0.16,PS2::Action
